Column,expenditure_date,payee_name,payee_clean,address,payee_type,amount,committee_name,expense_category,expense_purpose,expense_toward,expense_method,vendor,fundtype,comments,x
2481,2022-09-01,Facebook,Facebook,1 Hacker Way  Meno Park  California 94025,Business/Group/Organization,14.7600,Dappert  Michele Committee to Elect,Media,Online Advertising,,Debit Card,,Electoral,,
2482,2022-09-22,Facebook,Facebook,1 Hacker Way  Meno Park  California 94025,Business/Group/Organization,100.0000,Dappert  Michele Committee to Elect,Media,Online Advertising,,Debit Card,,Electoral,,
2483,2022-09-29,1631 Digital,1631 Digital,157 John Dabb Court  Chester  Maryland 21619,Business/Group/Organization,500.0000,Dappert  Michele Committee to Elect,Media,Online Advertising,,Check,,Electoral,,
2484,2022-09-26,Facebook,Facebook,1 Hacker Way  Meno Park  California 94025,Business/Group/Organization,18.4400,Dappert  Michele Committee to Elect,Media,Online Advertising,,Debit Card,,Electoral,,
2485,2022-11-01,Facebook,Facebook,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,50.0000,Jackson  Emily Friends of for Talbot County Board of Ed,Media,Online Advertising,,Debit Card,,Electoral,,
2486,2022-10-13,Access Marketing Services,Access Marketing Services,P.O. Box  913026  Denver  Colorado 80291-3026,Business/Group/Organization,8600.0000,Maryland REALTORS Political Fund,Media,Online Advertising,THOMAS GORDON - SUPPORT,,,Electoral,,
2487,2022-10-13,Access Marketing Services,Access Marketing Services,P.O. Box  913026  Denver  Colorado 80291-3026,Business/Group/Organization,876.3200,Maryland REALTORS Political Fund,Media,Phones / Robo calls,THOMAS GORDON - SUPPORT,,,Electoral,get out the vote text messaging,
2488,2022-10-13,Access Marketing Services,Access Marketing Services,P.O. Box  913026  Denver  Colorado 80291-3026,Business/Group/Organization,58900.0000,Maryland REALTORS Political Fund,Media,Online Advertising,JESSICA HAIRE - SUPPORT,,,Electoral,3 weeks online adv center right voters,
2489,2022-10-13,Access Marketing Services,Access Marketing Services,P.O. Box  913026  Denver  Colorado 80291-3026,Business/Group/Organization,39110.0000,Maryland REALTORS Political Fund,Media,Online Advertising,JESSICA HAIRE - SUPPORT,,,Electoral,3 weeks online adv center left voters,
2490,2022-10-13,Access Marketing Services,Access Marketing Services,P.O. Box  913026  Denver  Colorado 80291-3026,Business/Group/Organization,14430.0000,Maryland REALTORS Political Fund,Media,Online Advertising,MARY CAROZZA - SUPPORT,,,Electoral,4 weeks online adv,
2491,2022-10-13,Access Marketing Services,Access Marketing Services,P.O. Box  913026  Denver  Colorado 80291-3026,Business/Group/Organization,1011.4400,Maryland REALTORS Political Fund,Media,Phones / Robo calls,MARY CAROZZA - SUPPORT,,,Electoral,get out the vote text messaging,
2492,2022-08-30,Verizon Wireless,Verizon Wireless,PO Box 25505  Lehigh Valley  Pennsylvania 18002-5505,Business/Group/Organization,7.4100,Harrison  Andrea Friends Of,Media,Media - Website Development,,Wire Transfer,,Electoral,,
2493,2022-08-30,Verizon Wireless,Verizon Wireless,PO Box 25505  Lehigh Valley  Pennsylvania 18002-5505,Business/Group/Organization,10.5900,Harrison  Andrea Friends Of,Media,Media - Website Development,,Electronic Check,,Electoral,,
2494,2022-08-30,Verizon Wireless,Verizon Wireless,PO Box 25505  Lehigh Valley  Pennsylvania 18002-5505,Business/Group/Organization,2.9900,Harrison  Andrea Friends Of,Media,Media - Website Development,,Electronic Check,,Electoral,,
2495,2022-09-16,Verizon Wireless,Verizon Wireless,PO Box 25505  Lehigh Valley  Pennsylvania 18002-5505,Business/Group/Organization,362.8500,Harrison  Andrea Friends Of,Media,Phones / Robo calls,,Electronic Check,,Electoral,,
2496,2022-10-01,Verizon Wireless,Verizon Wireless,PO Box 25505  Lehigh Valley  Pennsylvania 18002-5505,Business/Group/Organization,2.9900,Harrison  Andrea Friends Of,Media,Media - Website Development,,Electronic Check,,Electoral,,
2497,2022-10-01,Verizon Wireless,Verizon Wireless,PO Box 25505  Lehigh Valley  Pennsylvania 18002-5505,Business/Group/Organization,10.5900,Harrison  Andrea Friends Of,Media,Media - Website Development,,Electronic Check,,Electoral,,
2498,2022-09-22,Verizon Wireless,Verizon Wireless,PO Box 25505  Lehigh Valley  Pennsylvania 18002-5505,Business/Group/Organization,7.4100,Harrison  Andrea Friends Of,Media,Media - Website Development,,Electronic Check,,Electoral,,
2499,2022-09-16,Verizon Wireless,Verizon Wireless,PO Box 25505  Lehigh Valley  Pennsylvania 18002-5505,Business/Group/Organization,7.4100,Harrison  Andrea Friends Of,Media,Media - Website Development,,Electronic Check,,Electoral,,
2500,2022-09-22,Verizon Wireless,Verizon Wireless,PO Box 25505  Lehigh Valley  Pennsylvania 18002-5505,Business/Group/Organization,7.4100,Harrison  Andrea Friends Of,Media,Media - Website Development,,Electronic Check,,Electoral,,
2501,2022-09-06,Verizon Wireless,Verizon Wireless,PO Box 25505  Lehigh Valley  Pennsylvania 18002-5505,Business/Group/Organization,2.9900,Harrison  Andrea Friends Of,Media,Media - Website Development,,Electronic Check,,Electoral,,
2502,2022-09-06,Verizon Wireless,Verizon Wireless,PO Box 25505  Lehigh Valley  Pennsylvania 18002-5505,Business/Group/Organization,10.5900,Harrison  Andrea Friends Of,Media,Media - Website Development,,Electronic Check,,Electoral,,
