Column,expenditure_date,payee_name,payee_clean,address,payee_type,amount,committee_name,expense_category,expense_purpose,expense_toward,expense_method,vendor,fundtype,comments,x
11/24/2021,Anedot,PO Box 84314  Baton Rouge  Louisiana 70884,Business/Group/Organization,22.1100,Morgan  Matt Citizens For,Other Expenses,Credit Card Service Processing Charges,,EFT,,Electoral,11/01/21 - 11/24/21,
1/10/2022,Metzgar  Ric Sr. Friends Of,1716 Kirkland Road  Baltimore  Maryland 21222,Candidate Committee,500.0000,Morgan  Matt Citizens For,Transfers Out to Other Maryland Treasurers,Transfer to MD Registered political Committees,,Check,,Electoral,,
1/10/2022,Munoz  Rachel Friends of,804 Northridge Way  Severna Park  Maryland 21146,Candidate Committee,500.0000,Morgan  Matt Citizens For,Transfers Out to Other Maryland Treasurers,Transfer to MD Registered political Committees,,Check,,Electoral,,
1/12/2022,Anedot,PO Box 84314  Baton Rouge  Louisiana 70884,Business/Group/Organization,55.1000,Morgan  Matt Citizens For,Other Expenses,Credit Card Service Processing Charges,,EFT,,Electoral,Dec - Jan 9,
1/8/2022,Grammer  Robin L. Jr. Friends of,316 Ida Avenue  Baltimore  Maryland 21221,Candidate Committee,500.0000,Morgan  Matt Citizens For,Transfers Out to Other Maryland Treasurers,Transfer to MD Registered political Committees,,Check,,Electoral,,
10/20/2021,JAMES MATTHEW  MORGAN,PO Box 136  Charlotte Hall  Maryland 20622,Self (Candidate),329.2300,Morgan  Matt Citizens For,Printing and Campaign Materials,Billboards / Outdoor Advertising,,Check,Tractor Supply,Electoral,T-Posts for sign installations,
1/12/2022,JAMES MATTHEW  MORGAN,PO Box 136  Charlotte Hall  Maryland 20622,Self (Candidate),854.7700,Morgan  Matt Citizens For,Media,Online Advertising,,Check,Facebook,Electoral,,
10/29/2021,JAMES MATTHEW  MORGAN,PO Box 136  Charlotte Hall  Maryland 20622,Self (Candidate),149.9000,Morgan  Matt Citizens For,Rent and Other Office expenses,IT - Campaign Software,,Check,Zoom,Electoral,,
10/2/2021,Christmas in April - St. Marys",PO Box 705  Hollywood  Maryland 20636,Business/Group/Organization,100.0000,Morgan  Matt Citizens For,Media,Billboards / Outdoor Advertising,,Check,,Electoral,,
1060,2021-08-17,Grantsville Lions Club,Grantsville Lions Club,PO Box 450  Grantsville  Maryland 21536,Business/Group/Organization,100.0000,Bittinger  Bill(William) Citizens to Elect,Media,Billboards / Outdoor Advertising,,Check,,Electoral,Oktoberfest Advertising,
1061,2021-09-06,Southern High Soccer,Southern High Soccer,345 Oakland Drive  OAkland  Maryland 21550,Business/Group/Organization,40.0000,Bittinger  Bill(William) Citizens to Elect,Media,Book/Brochure Advertising,,Check,,Electoral,Soccer Program Ad,
1062,2021-11-22,Northern High School,Northern High School,86 Pride Parkway  Accident  Maryland 21520,Business/Group/Organization,25.0000,Bittinger  Bill(William) Citizens to Elect,Media,Book/Brochure Advertising,,Check,,Electoral,Basketball Ad,
1063,2021-08-13,Mid-Atlantic Media,Mid-Atlantic Media,11459 Cornhill Dr.  Suite A  Owings Mills  Maryland 21117,Business/Group/Organization,730.0000,Rosenberg  Sandy Citizens For,Media,Book/Brochure Advertising,,Check,,Electoral,,
1064,2021-08-13,Staiman Design,Staiman Design,17 Warren Rd.  Baltimore  Maryland 21208,Business/Group/Organization,72.0000,Rosenberg  Sandy Citizens For,Media,Graphic Design,,Check,,Electoral,,
1065,2021-10-13,Baltimore Jewish Home,Baltimore Jewish Home,600 Reisterstown rd  Suite 600A  Baltimore  Maryland 21208,Business/Group/Organization,300.0000,Rosenberg  Sandy Citizens For,Media,Book/Brochure Advertising,,Check,,Electoral,,
1066,2021-10-13,Staiman Design,Staiman Design,17 Warren Rd.  Baltimore  Maryland 21208,Business/Group/Organization,553.5000,Rosenberg  Sandy Citizens For,Media,Graphic Design,,Check,,Electoral,,
1067,2021-03-13,Mid-Atlantic Media,Mid-Atlantic Media,11459 Cornhill Dr.  Suite A  Owings Mills  Maryland 21117,Business/Group/Organization,730.0000,Rosenberg  Sandy Citizens For,Media,Book/Brochure Advertising,,Check,,Electoral,,
1068,2021-03-13,Where What,Where What,6016 Clover Rd.  Baltimore  Maryland 21215,Business/Group/Organization,500.0000,Rosenberg  Sandy Citizens For,Media,Book/Brochure Advertising,,Check,,Electoral,,
1069,2021-03-13,Staiman Design,Staiman Design,17 Warren Rd.  Baltimore  Maryland 21208,Business/Group/Organization,74.7000,Rosenberg  Sandy Citizens For,Media,Graphic Design,,Check,,Electoral,,
1070,2021-04-30,Baltimore Jewish Home,Baltimore Jewish Home,600 Reisterstown rd  Suite 600A  Baltimore  Maryland 21208,Business/Group/Organization,300.0000,Rosenberg  Sandy Citizens For,Media,Book/Brochure Advertising,,Check,,Electoral,,
1071,2021-04-30,VM Corporation,VM Corporation,6019 Highgate Dr.  Baltimore  Maryland 21215,Business/Group/Organization,263.0000,Rosenberg  Sandy Citizens For,Media,Book/Brochure Advertising,,Check,,Electoral,,
1072,2021-05-27,Brough Schamp Photography,Brough Schamp Photography,6907 Avondale Rd.  Baltimore  Maryland 21212,Business/Group/Organization,2000.0000,Rosenberg  Sandy Citizens For,Media,Videos,,Check,,Electoral,,
1073,2021-12-23,Amy Ginsburg,Amy Ginsburg,4850 CLOISTER DRIVE  ROCKVILLE  Maryland 20852,Business/Group/Organization,200.0000,Ginsburg  Amy Committee to Elect,Media,Graphic Design,,Electronic Check,Matt Felperin,Electoral,,
1074,2021-12-19,Amy Ginsburg,Amy Ginsburg,4850 CLOISTER DRIVE  ROCKVILLE  Maryland 20852,Business/Group/Organization,206.0600,Ginsburg  Amy Committee to Elect,Media,Media - Website Development,,Credit Card/MasterCard,Square Space,Electoral,,
1075,2021-09-29,Montgomery County Democratic Central Committee,Montgomery County Democratic Central Committee,12320 Parklawn Drive  Suite 210  Rockville  Maryland 20852,Party Central,100.0000,Schwartz  Paul for Montgomery County,Media,Book/Brochure Advertising,,Check,,Electoral,,
1076,2021-05-20,Eruv List,Eruv List,6003 Western Run Dr.  Baltimore  Maryland 21209,Business/Group/Organization,355.0000,Rosenberg  Sandy Citizens For,Media,Book/Brochure Advertising,,Check,,Electoral,,
1077,2021-09-05,ROBERT GABRIEL  CASSILLY,ROBERT GABRIEL  CASSILLY,112 EAST BROADWAY  BEL AIR  Maryland 21014,Self (Candidate),484.2000,Cassilly  Bob Citizens for,Media,Online Advertising,,Check,Facebook,Electoral,,
1078,2021-09-05,Jenna Kahl,Jenna Kahl,2805 Oakcrest Avenue  Baltimore  Maryland 21234,Individual,200.0000,Cassilly  Bob Citizens for,Media,Media - Website Development,,Check,,Electoral,,
1079,2021-09-05,Chesapeake Bay Area Charities,Chesapeake Bay Area Charities,c/o Joyce Hess  2509 Claret Drive  Fallston  Maryland 21047,Business/Group/Organization,300.0000,Cassilly  Bob Citizens for,Media,Billboards / Outdoor Advertising,,Check,,Electoral,,
1080,2021-10-10,Sam Kahl,Sam Kahl,213 Lakeside Terrace  Bel Air  Maryland 21014,Individual,200.0000,Cassilly  Bob Citizens for,Media,Media - Website Development,,Check,,Electoral,,
1081,2021-03-05,Wix.com,Wix.com,500 Terry Francois Blvd  6th Fl  San Francisco  California 94158,Business/Group/Organization,204.0000,Simpson  Karen Friends of,Media,Online Advertising,,EFT,,Electoral,,
1082,2022-01-04,Vernon Wade,Vernon Wade,7102 Polly Ct  Fort Washington  Maryland 20744,Individual,410.3000,Wade  Vernon Friends of,Media,Online Advertising,,Check,FaceBook Inc.,Electoral,,
1083,2021-12-06,Angela Wade,Angela Wade,7102 Polly Ct  Fort Washington  Maryland 20744,Spouse (Candidate),168.0000,Wade  Vernon Friends of,Media,Media - Website Development,,Check,WIX. Com,Electoral,,
1084,2022-01-02,Robinson Information Systems Contracting and Consulting Management,Robinson Information Systems Contracting and Consulting Management,7141 Allentown Rd  Fort Washington  Maryland 20744,Business/Group/Organization,250.0000,Wade  Vernon Friends of,Media,Media - Website Development,,Check,,Electoral,,
1085,2021-12-30,WIX.com,Wix.com,Tel Aviv- Yafo  Tel Aviv  ISRAEL,Business/Group/Organization,6.0000,Wade  Vernon Friends of,Media,Graphic Design,,Debit Card,,Electoral,,
1086,2021-08-24,PRESTEAGE MEDIA,PRESTEAGE MEDIA,12530 GREAT PARK CIRCLE  APT. 203  GERMANTOWN  Maryland 20876,Business/Group/Organization,1000.0000,Barrie  Fatmata  for County Council,Media,Videos,,EFT,,Electoral,,
1087,2022-06-01,Lynde Pratt,Lynde Pratt,1313 W. 40th Street  Baltimore  Baltimore City  Maryland 21211,Individual,550.2800,Shulman  Kathryn Friends of,Media,Media - Website Development,,Check,,Electoral,,
1088,2022-01-17,Lynde Pratt,Lynde Pratt,1313 W. 40th Street  Baltimore  Baltimore City  Maryland 21211,Individual,75.0000,Shulman  Kathryn Friends of,Media,Media - Website Development,,Check,,Electoral,,
1089,2022-02-01,Lynde Pratt,Lynde Pratt,1313 W. 40th Street  Baltimore  Baltimore City  Maryland 21211,Individual,150.0000,Shulman  Kathryn Friends of,Media,Media - Website Development,,Check,,Electoral,,
1090,2022-03-01,Lynde Pratt,Lynde Pratt,1313 W. 40th Street  Baltimore  Baltimore City  Maryland 21211,Individual,225.0000,Shulman  Kathryn Friends of,Media,Media - Website Development,,Check,,Electoral,,
1091,2022-08-01,Meta,Facebook,1 Hacker Way  Menlo Park  California 94024,Business/Group/Organization,70.7000,Hazel  Kristin Parents for,Media,Online Advertising,,Debit Card,,Electoral,,
1092,2021-06-28,Weebly Services,Weebly Services,460 Bryant St  San Francisco  California 94107,Business/Group/Organization,30.7400,Baltimore County Democratic Central Committee,Media,Media - Website Development,,Debit Card,,Administrative,,
1093,2022-07-19,Frank Caskin,Frank Caskin,12107 Whipperwill Lane  Rockvile  Maryland 20852,Individual,4350.0000,Segal  Jerome M. for Governor,Media,Consulting Fees - Media,,Check,,Electoral,,
1094,2022-07-18,Willard Global Strategies,Willard Global Strategies,10032 Hartford Maroon Rd  Orlando  Florida 32827,Business/Group/Organization,3500.0000,Segal  Jerome M. for Governor,Media,Consulting Fees - Media,,Check,,Electoral,,
1095,2022-01-02,No Other Name Studeios,No Other Name Studios,7817 Highpoint Rd  Parkville  Maryland 21234,Business/Group/Organization,250.0000,Judges  Slate Committee To Elect Baltimore Co. Orphans Court,Media,Graphic Design,,Check,,Electoral,,
1096,2021-09-04,ChangeDigital  LLC,ChangeDigital  LLC,2320 Gracy Farms Lane  Austin  Texas 78758,Business/Group/Organization,1200.0000,Johnson  Andre Elect,Media,Graphic Design,,Credit Card/Visa,,Electoral,,
1097,2021-08-16,Google Domains,Google Domains,1600 Ampitheatre Pkwy  Mountain View  California 94043,Business/Group/Organization,25.4400,Johnson  Andre Elect,Media,Media - Website Development,,Credit Card/Visa,,Electoral,Recurring Expense to keep the website up to date,
1098,2021-09-16,Google Domains,Google Domains,1600 Ampitheatre Pkwy  Mountain View  California 94043,Business/Group/Organization,25.4400,Johnson  Andre Elect,Media,Media - Website Development,,Credit Card/Visa,,Electoral,,
1099,2021-10-16,Google Domains,Google Domains,1600 Ampitheatre Pkwy  Mountain View  California 94043,Business/Group/Organization,13.9100,Johnson  Andre Elect,Media,Media - Website Development,,Credit Card/Visa,,Electoral,,
1100,2021-02-25,Campaign Partner,Campaign Partner,PO Box 118  Still River  Massachusetts 01467,Business/Group/Organization,29.0000,Coates  Thomasina Vote,Media,Media - Website Development,,EFT,,Electoral,,
1101,2021-05-02,Garrett County Republican Central Committee,Garrett County Republican Central Committee,95 Cathedral St.  Annapolis  Maryland 21401,Business/Group/Organization,40.0000,Edwards  Paul C. Citizens for,Media,Book/Brochure Advertising,,Check,,Electoral,,
1102,2021-05-02,GARRETT LAKES ARTS FESTIVAL,GARRETT LAKES ARTS FESTIVAL,687 Mosser Rd  McHenry  Maryland 21541,Business/Group/Organization,50.0000,Edwards  Paul C. Citizens for,Media,Book/Brochure Advertising,,Check,,Electoral,,
1103,2021-05-02,Northern Garrett High School,Northern Garrett High School,86 Pride Parkway  Accident  Maryland 21520,Business/Group/Organization,100.0000,Edwards  Paul C. Citizens for,Media,Book/Brochure Advertising,,Check,,Electoral,Soccer program ad,
1104,2021-05-19,WV News/Garrett Co. Republican,WV News/Garrett Co. Republican,PO Box 2000  Clarksburg  West Virginia 26301,Business/Group/Organization,55.3300,Edwards  Paul C. Citizens for,Media,Book/Brochure Advertising,,Check,,Electoral,,
1105,2021-09-06,Southern Garrett High School,Southern Garrett High School,345 Oakland Dr.  Oakland  Maryland 21550,Business/Group/Organization,40.0000,Edwards  Paul C. Citizens for,Media,Book/Brochure Advertising,,Check,,Electoral,,
1106,2021-07-08,WGW Benefit Golf Tournament,WGW Benefit Golf Tournament,PO Box 1  McHenry  Maryland 21541,Business/Group/Organization,125.0000,Edwards  Paul C. Citizens for,Media,Billboards / Outdoor Advertising,,Money Order,,Electoral,Cashiers Check,
1107,2021-10-21,IFrog Marketing Solutions,IFrog Marketing Solutions,PO Box 774  Easton  Maryland 21601,Business/Group/Organization,4500.0000,Franklin  Dan for Sheriff,Media,Media - Website Development,,Check,,Electoral,,
1108,2022-01-01,IFrog Marketing Solutions,IFrog Marketing Solutions,PO Box 774  Easton  Maryland 21601,Business/Group/Organization,750.0000,Franklin  Dan for Sheriff,Media,Online Advertising,,Credit Card/MasterCard,,Electoral,,
1109,2022-01-12,JOLENE Ivey,JOLENE Ivey,2700 Valley Way  Cheverly  Prince George’s   Maryland 20785,Individual,50.6300,Ivey  Jolene Friends Of,Media,Online Advertising,,Check,Go Daddy,Electoral,,
1110,2022-07-07,Mad Mimi/GoDaddy.com LLC,Mad Mimi/GoDaddy.com LLC,14455 N. Hayden Road  Suite 219  Scottsdale  Arizona 85260,Business/Group/Organization,62.5400,Grammer  Robin L. Jr. Friends of,Media,Media - Website Development,,Credit Card/Visa,,Electoral,,
1111,2022-07-11,Facebook,Facebook,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,750.0000,Grammer  Robin L. Jr. Friends of,Media,Online Advertising,,Credit Card/Visa,,Electoral,,
1112,2022-07-12,Facebook,Facebook,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,125.0000,Grammer  Robin L. Jr. Friends of,Media,Online Advertising,,Credit Card/Visa,,Electoral,,
1113,2022-07-19,Facebook,Facebook,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,125.0000,Grammer  Robin L. Jr. Friends of,Media,Online Advertising,,Credit Card/Visa,,Electoral,,
1114,2022-07-20,Facebook,Facebook,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,900.0000,Grammer  Robin L. Jr. Friends of,Media,Online Advertising,,Credit Card/Visa,,Electoral,,
1115,2022-07-27,Facebook,Facebook,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,50.0000,Grammer  Robin L. Jr. Friends of,Media,Online Advertising,,Credit Card/Visa,,Electoral,,
1116,2022-08-01,Facebook,Facebook,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,47.9000,Grammer  Robin L. Jr. Friends of,Media,Online Advertising,,Credit Card/Visa,,Electoral,,
1117,2022-08-08,Mad Mimi/GoDaddy.com LLC,Mad Mimi/GoDaddy.com LLC,14455 N. Hayden Road  Suite 219  Scottsdale  Arizona 85260,Business/Group/Organization,62.5400,Grammer  Robin L. Jr. Friends of,Media,Media - Website Development,,Credit Card/Visa,,Electoral,,
1118,2022-07-11,APG Media of Chesapeake LLC,APG Media of Chesapeake  LLC,29088 Airpark Drive  Easton  Maryland 21601,Business/Group/Organization,500.0000,Grammer  Robin L. Jr. Friends of,Media,Newspaper,,Credit Card/Visa,,Electoral,,
1119,2021-12-27,Campaign Partner,Campaign Partner,PO Box 118  Still River  Massachusetts 01467,Business/Group/Organization,29.0000,Coates  Thomasina Vote,Media,Media - Website Development,,Debit Card,,Electoral,,
1120,2021-11-26,Campaign Partner,Campaign Partner,PO Box 118  Still River  Massachusetts 01467,Business/Group/Organization,29.0000,Coates  Thomasina Vote,Media,Media - Website Development,,Debit Card,,Electoral,,
1121,2021-10-25,Campaign Partner,Campaign Partner,PO Box 118  Still River  Massachusetts 01467,Business/Group/Organization,29.0000,Coates  Thomasina Vote,Media,Media - Website Development,,Debit Card,,Electoral,,
1122,2021-09-27,Campaign Partner,Campaign Partner,PO Box 118  Still River  Massachusetts 01467,Business/Group/Organization,29.0000,Coates  Thomasina Vote,Media,Media - Website Development,,Debit Card,,Electoral,,
1123,2021-08-25,Campaign Partner,Campaign Partner,PO Box 118  Still River  Massachusetts 01467,Business/Group/Organization,29.0000,Coates  Thomasina Vote,Media,Media - Website Development,,Debit Card,,Electoral,,
1124,2021-07-26,Campaign Partner,Campaign Partner,PO Box 118  Still River  Massachusetts 01467,Business/Group/Organization,29.0000,Coates  Thomasina Vote,Media,Media - Website Development,,Debit Card,,Electoral,,
1125,2021-11-16,Google Domains,Google Domains,1600 Ampitheatre Pkwy  Mountain View  California 94043,Business/Group/Organization,12.7200,Johnson  Andre Elect,Media,Media - Website Development,,Credit Card/Visa,,Electoral,,
1126,2021-12-16,Google Domains,Google Domains,1600 Ampitheatre Pkwy  Mountain View  California 94043,Business/Group/Organization,12.7200,Johnson  Andre Elect,Media,Media - Website Development,,Credit Card/Visa,,Electoral,,
1127,2021-09-08,NET CMO,NET CMO,60 Edgewood Drive  Lynchburg  Virginia 24502,Business/Group/Organization,263.8800,Bailey  Jack (John) Friends of,Media,Media - Website Development,,Check,,Electoral,,
1128,2022-01-10,Herd Digital Solutions,Herd Digital Solutions,123 Charles Street  LaPlata  Maryland 20646,Business/Group/Organization,900.0000,Bailey  Jack (John) Friends of,Media,Media - Website Development,,Check,,Electoral,,
1129,2022-01-10,JOHN DANIEL  BAILEY,JOHN DANIEL  BAILEY,38159 New Market Turner Road  Mechanicsville  Maryland 20659,Self (Candidate),500.0000,Bailey  Jack (John) Friends of,Media,TV,,Check,effectv,Electoral,Holiday Greetings Commercial,
1130,2022-01-10,JOHN DANIEL  BAILEY,JOHN DANIEL  BAILEY,38159 New Market Turner Road  Mechanicsville  Maryland 20659,Self (Candidate),340.7500,Bailey  Jack (John) Friends of,Media,TV,,Check,effectv,Electoral,Holiday Greeting,
1131,2021-10-23,Wix Website,Wix Website,500 Terry A Francois Boulevard Sixth Floor  San Francisco  California 94158,Business/Group/Organization,456.0000,Weaver  Rita Friends to Elect,Media,Media - Website Development,,Credit Card/Visa,,Electoral,Website 2 years,
1132,2021-06-14,Facebook,Facebook,1 Facebook Way  Menlo Park  California 94025,Business/Group/Organization,75.0000,Boniface  Billy Friends Of,Media,Online Advertising,,Debit Card,,Electoral,,
1133,2021-07-01,Facebook,Facebook,1 Facebook Way  Menlo Park  California 94025,Business/Group/Organization,25.0000,Boniface  Billy Friends Of,Media,Online Advertising,,Debit Card,,Electoral,,
1134,2021-06-23,William K Boniface,William K Boniface,3745 Harmony Church Road  Darlington  Harford  Maryland 21034,Individual,199.9200,Boniface  Billy Friends Of,Media,Online Advertising,,Check,Facebook,Electoral,Reimburse Facebook ads paid personally,
1135,2021-07-23,Clear Channel Outdoor  LLC,Clear Channel Outdoor  LLC,9590 Lynn Bluff Court  #5  Laurel  Maryland 20723,Business/Group/Organization,5825.0000,Boniface  Billy Friends Of,Media,Billboards / Outdoor Advertising,,Check,,Electoral,,
1136,2021-08-02,Facebook,Facebook,1 Facebook Way  Menlo Park  California 94025,Business/Group/Organization,62.0800,Boniface  Billy Friends Of,Media,Online Advertising,,EFT,,Electoral,,
1137,2021-08-02,Facebook,Facebook,1 Facebook Way  Menlo Park  California 94025,Business/Group/Organization,75.0000,Boniface  Billy Friends Of,Media,Online Advertising,,EFT,,Electoral,,
1138,2021-08-04,Facebook,Facebook,1 Facebook Way  Menlo Park  California 94025,Business/Group/Organization,75.0000,Boniface  Billy Friends Of,Media,Online Advertising,,EFT,,Electoral,,
1139,2021-09-18,Clear Channel Outdoor  LLC,Clear Channel Outdoor  LLC,9590 Lynn Bluff Court  #5  Laurel  Maryland 20723,Business/Group/Organization,4552.5000,Boniface  Billy Friends Of,Media,Billboards / Outdoor Advertising,,Check,,Electoral,,
1140,2021-09-23,Sonipak Design & Marketing,Sonipak Design & Marketing,4106 Belle Farm Court  Pylesville  Maryland 21132,Business/Group/Organization,260.0000,Boniface  Billy Friends Of,Media,Book/Brochure Advertising,,Check,,Electoral,Wine Festival ad placement,
1141,2021-09-29,Clear Channel Outdoor  LLC,Clear Channel Outdoor  LLC,9590 Lynn Bluff Court  #5  Laurel  Maryland 20723,Business/Group/Organization,5837.0000,Boniface  Billy Friends Of,Media,Billboards / Outdoor Advertising,,Check,,Electoral,,
1142,2021-09-14,Facebook,Facebook,1 Facebook Way  Menlo Park  California 94025,Business/Group/Organization,175.0000,Boniface  Billy Friends Of,Media,Online Advertising,,EFT,,Electoral,,
1143,2021-09-30,Facebook,Facebook,1 Facebook Way  Menlo Park  California 94025,Business/Group/Organization,198.4400,Boniface  Billy Friends Of,Media,Online Advertising,,EFT,,Electoral,,
1144,2021-11-02,Sonipak Design & Marketing,Sonipak Design & Marketing,4106 Belle Farm Court  Pylesville  Maryland 21132,Business/Group/Organization,2228.4700,Boniface  Billy Friends Of,Media,Graphic Design,,Check,,Electoral,,
1145,2021-11-19,Facebook,Facebook,1 Facebook Way  Menlo Park  California 94025,Business/Group/Organization,75.0000,Boniface  Billy Friends Of,Media,Online Advertising,,EFT,,Electoral,,
1146,2021-11-10,Facebook,Facebook,1 Facebook Way  Menlo Park  California 94025,Business/Group/Organization,25.0000,Boniface  Billy Friends Of,Media,Online Advertising,,EFT,,Electoral,,
1147,2021-11-30,Facebook,Facebook,1 Facebook Way  Menlo Park  California 94025,Business/Group/Organization,1.6500,Boniface  Billy Friends Of,Media,Online Advertising,,EFT,,Electoral,,
1148,2021-12-08,Facebook,Facebook,1 Facebook Way  Menlo Park  California 94025,Business/Group/Organization,80.7200,Boniface  Billy Friends Of,Media,Online Advertising,,EFT,,Electoral,,
1149,2021-12-31,Eastern Outdoor Advertising Co.,Eastern Outdoor Advertising,7115 Rockridge Road  Baltimore  Maryland 21207,Business/Group/Organization,5300.0000,Boniface  Billy Friends Of,Media,Billboards / Outdoor Advertising,,Check,,Electoral,,
1150,2021-01-31,Facebook,Facebook,1 Facebook Way  Menlo Park  California 94025,Business/Group/Organization,122.1500,Boniface  Billy Friends Of,Media,Online Advertising,,EFT,,Electoral,,
1151,2022-01-10,Facebook,Facebook,1 Facebook Way  Menlo Park  California 94025,Business/Group/Organization,28.5700,Boniface  Billy Friends Of,Media,Online Advertising,,EFT,,Electoral,,
1152,2021-08-17,Majority Strategies,Majority Strategies,12854 Kenan Drive  Jacksonville  Florida 32258,Business/Group/Organization,393.4000,Change Annapolis PAC,Media,Online Advertising,,Check,,Electoral,,
1153,2021-05-10,Neighborhood Signs & Stickers,Neighborhood Signs & Stickers,6655 Amberton Drive  Elkridge  Maryland 21075,Business/Group/Organization,330.7200,Chisholm  Brian Citizens for,Media,Billboards / Outdoor Advertising,,Check,,Electoral,,
1154,2021-06-07,Mike Friedrich Media,Mike Friedrich Media,621 Admiral  Suite 308  Annapolis  Maryland 21401,Business/Group/Organization,250.0000,Chisholm  Brian Citizens for,Media,Consulting Fees - General,,EFT,,Electoral,,
1155,2021-10-23,Wix Website,Wix Website,500 Terry A Francois Boulevard Sixth Floor  San Francisco  California 94158,Business/Group/Organization,33.7500,Weaver  Rita Friends to Elect,Media,Media - Website Development,,Credit Card/Visa,,Electoral,Domain name,
1156,2021-10-23,Wix Website,Wix Website,500 Terry A Francois Boulevard Sixth Floor  San Francisco  California 94158,Business/Group/Organization,60.0000,Weaver  Rita Friends to Elect,Media,Media - Website Development,,Credit Card/Visa,,Electoral,Email,
1157,2021-11-08,Red Mana Properties,Red Mana Properties,19605 Shepherstown Pike  Boonsboro  Maryland 21713,Business/Group/Organization,400.0000,Bowers  Ron For Advocates,Media,Online Advertising,,Check,,Electoral,,
1158,2022-07-06,Ocean Pines Progress Newspaper,Ocean Pines Progress Newspaper,127 Nottingham Lane  Ocean Pines  Maryland 21811,Business/Group/Organization,375.0000,Helvey  (Russell) Grant People to Elect,Media,Newspaper,,Check,,Electoral,,
1159,2022-07-06,Ocean Pines Progress Newspaper,Ocean Pines Progress Newspaper,127 Nottingham Lane  Ocean Pines  Maryland 21811,Business/Group/Organization,225.0000,Helvey  (Russell) Grant People to Elect,Media,Newspaper,,Check,,Electoral,,
1160,2021-06-04,Diamond Strategies LLC,Diamond Strategies LLC,2727 29th Street NW  Unit 514  Washington  District Of Columbia 20008,Business/Group/Organization,500.0000,Judges - Baltimore City Sitting Judges Committee Slate,Media,Consulting Fees - Media,,Check,,Electoral,May-June 2021 Retainer,
1161,2021-02-01,Verizon Wireless,Verizon Wireless,PO Box 25505  Lehigh Valley  Pennsylvania 18002-5505,Business/Group/Organization,9.9900,Harrison  Andrea Friends Of,Media,Phones / Robo calls,,Electronic Check,,Electoral,,
1162,2021-06-04,Diamond Strategies LLC,Diamond Strategies LLC,2727 29th Street NW  Unit 514  Washington  District Of Columbia 20008,Business/Group/Organization,500.0000,Judges - Baltimore City Sitting Judges Committee Slate,Media,Consulting Fees - Media,,Check,,Electoral,April-May 2021 Retainer,
1163,2021-10-15,Squarespace  Inc,SQUARESPACE INC.,225 Varick St  12th Floor  New York  New York 10014,Business/Group/Organization,228.9600,Proctor  Sarah For The People,Media,Media - Website Development,,Debit Card,,Electoral,,
1164,2021-11-11,Wix,Wix,PO Box 40190  San Francisco  California 94118,Business/Group/Organization,204.0000,Jackson  Michael A.  Friends of,Media,Media - Website Development,,Debit Card,,Electoral,Annual Website Fee,
1165,2021-08-02,Facebook,Facebook,1 Facebook Way  Menlo Park  California 94025,Business/Group/Organization,10.0000,Balcombe  Marilyn Friends,Media,Online Advertising,,Debit Card,,Electoral,,
1166,2021-09-02,Facebook,Facebook,1 Facebook Way  Menlo Park  California 94025,Business/Group/Organization,15.0000,Balcombe  Marilyn Friends,Media,Online Advertising,,Debit Card,,Electoral,,
1167,2022-05-25,Meta,Facebook,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,19.5100,Ali  Saqib Friends of,Media,Online Advertising,,Debit Card,,Electoral,,
1168,2021-08-16,Diamond Strategies LLC,Diamond Strategies LLC,2727 29th Street NW  Unit 514  Washington  District Of Columbia 20008,Business/Group/Organization,500.0000,Judges - Baltimore City Sitting Judges Committee Slate,Media,Consulting Fees - Media,,Check,,Electoral,Invoice 1055 June/July 2021,
1169,2021-08-16,Diamond Strategies LLC,Diamond Strategies LLC,2727 29th Street NW  Unit 514  Washington  District Of Columbia 20008,Business/Group/Organization,500.0000,Judges - Baltimore City Sitting Judges Committee Slate,Media,Consulting Fees - Media,,Check,,Electoral,Invoice 1058 July/August 2021,
1170,2021-11-09,Diamond Strategies LLC,Diamond Strategies LLC,2727 29th Street NW  Unit 514  Washington  District Of Columbia 20008,Business/Group/Organization,500.0000,Judges - Baltimore City Sitting Judges Committee Slate,Media,Consulting Fees - Media,,Check,,Electoral,,
1171,2021-12-01,Facebook,Facebook,1 Facebook Way  Menlo Park  California 94025,Business/Group/Organization,30.0000,Balcombe  Marilyn Friends,Media,Online Advertising,,Debit Card,,Electoral,,
1172,2022-01-03,Facebook,Facebook,1 Facebook Way  Menlo Park  California 94025,Business/Group/Organization,30.0000,Balcombe  Marilyn Friends,Media,Online Advertising,,Debit Card,,Electoral,,
1173,2022-11-02,Google LLC,Google LLC,1600 Amphitheatre Parkway  Mountain View  California 94043,Business/Group/Organization,184.4400,Franchot  Peter Friends Of,Media,Online Advertising,,EFT,,Electoral,,
1174,2022-10-28,Wix  Ltd.,Wix  Ltd.,P.O. Box 40190  San Francisco  California 94140,Business/Group/Organization,34.9200,Franchot  Peter Friends Of,Media,Online Advertising,,EFT,,Electoral,,
